School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Milwaukee,12,18,112,1534,666,4068,0.213,1453,1645,123,60,335,227.5,1466,541,3899,0.237
New Orleans,12,16,110,1316,583,3678,0.199,1237,1466,149,55,338,224,1338,518,3615,0.227
NJIT,12,19,114,1353,665,3950,0.174,1245,1590,176,27,335,194.5,1322,546,3738,0.208
Northern Ky.,12,15,103,1339,597,4119,0.18,1261,1846,120,18,354,195,1415,591,4070,0.202
Penn,12,11,93,1155,469,3187,0.215,1051,1355,101,26,269,160.5,1197,496,3278,0.214
Purdue Fort Wayne,12,19,118,1544,688,4494,0.19,1467,1954,115,55,319,214.5,1492,629,4331,0.199
Rhode Island,12,16,107,1180,597,3653,0.16,1093,1494,155,25,431,240.5,1289,627,3641,0.182
Sacred Heart,12,15,112,1445,772,3915,0.172,1328,1554,158,28,353,204.5,1187,544,3511,0.183
Saint Francis (PA),12,15,97,1208,526,3783,0.18,1133,1757,108,34,264,166,1264,518,3762,0.198
South Carolina,12,18,116,1419,562,3751,0.228,1335,1541,140,70,365,252.5,1490,625,3907,0.221
South Fla.,12,18,108,1364,586,3943,0.197,1307,1806,131,59,319,218.5,1475,551,4065,0.227
Tennessee,12,15,104,1282,480,3714,0.216,1190,1616,93,38,475,275.5,1410,635,3967,0.195
Toledo,12,16,113,1359,599,4098,0.185,1279,1950,147,70,342,241,1424,632,4228,0.187
UTSA,12,16,114,1455,633,4154,0.198,1360,1695,161,40,339,209.5,1465,560,3989,0.227
Albany (NY),11,15,89,1053,509,3260,0.167,970,1445,84,40,250,165,1177,466,3306,0.215
Arizona,11,18,109,1363,608,3706,0.204,1260,1502,104,59,389,253.5,1361,547,3637,0.224
George Washington,11,21,120,1400,685,4079,0.175,1273,1762,135,34,400,234,1496,630,4147,0.209
Idaho St.,11,19,113,1358,598,3973,0.191,1280,1629,153,45,345,217.5,1455,538,3891,0.236
Indiana St.,11,21,120,1484,613,4426,0.197,1382,1973,113,44,340,214,1715,603,4594,0.242
Marshall,11,19,109,1383,623,3767,0.202,1264,1545,134,77,321,237.5,1352,571,3672,0.213
Seattle U,11,17,104,1253,553,3517,0.199,1185,1432,122,33,394,230,1318,521,3491,0.228
Southeast Mo. St.,11,20,118,1362,581,3929,0.199,1268,1708,146,62,415,269.5,1566,658,4220,0.215
Troy,11,22,126,1610,831,4319,0.18,1502,1548,167,60,323,221.5,1421,562,3796,0.226
